grid_i,lat,lon,breadcrumb_count,n_routes
47545,41.93837989809218,-73.88285059127934,78204.0,946
44566,42.22266390882357,-74.02049055499236,2584.0,4
39127,41.70383968135304,-74.26205927529628,81166.0,335
46026,41.690686220454545,-73.9558988159091,44.0,3
49349,41.99023874305284,-73.80820903325596,91490.0,680
49350,42.010808181256934,-73.80442699146714,68068.0,757
49649,41.99264892817218,-73.79212837777655,78975.0,472
49650,42.00722549925091,-73.79775371917293,80765.0,433
46931,41.75413515053902,-73.91080430192143,29405.0,162
39748,41.97867838270266,-74.23300906113121,22859.0,206
40048,41.9740804453774,-74.21788497097712,3418.0,158
42751,42.02050564854832,-74.10141936763134,54111.0,351
49044,41.92533587251669,-73.82081843444482,45493.0,330
32527,41.70273319278278,-74.55134884061093,4420.0,16
32528,41.70867504059118,-74.55113086631977,2402.0,15
32529,41.72736718084008,-74.5542357945222,4071.0,25
32828,41.71564826793382,-74.54768823692362,2841.0,15
32829,41.72329547473253,-74.54334612437968,4393.0,20
33129,41.72606048954374,-74.52845153369773,2104.0,15
33429,41.72416060468273,-74.516197249432,3609.0,21
42128,41.71141541903678,-74.12560789111203,60588.0,472
41536,41.81843593101376,-74.1516836862326,68763.0,692
49345,41.93936280525428,-73.80528906865028,136326.0,761
40065,42.21176708175269,-74.217292284532,24431.0,340
40066,42.21580184993798,-74.22373543550482,25005.0,347
40365,42.20662050894998,-74.20730603892618,52972.0,358
40366,42.21775432303035,-74.21133590090898,660.0,1
32844,41.925151055745935,-74.54046963053021,24104.0,111
42450,42.00639501372486,-74.11495189493729,19614.0,241
42750,42.005007430810196,-74.10199453354895,19169.0,148
46356,42.08711826295994,-73.94164334334367,17149.0,112
34061,42.15123762314143,-74.4919377667556,2623.0,53
34062,42.169896796253425,-74.48835887036414,4751.0,18
34362,42.16859539565527,-74.47448224526565,8470.0,26
40045,41.93685964096794,-74.21996579453142,261246.0,1102
40345,41.94223563929325,-74.20843183562785,116875.0,1002
40346,41.95085522578834,-74.20627348718358,212817.0,1131
40646,41.9484847949311,-74.1941863048402,122964.0,911
40946,41.94768671076553,-74.18335397606639,82039.0,806
41538,41.84633693138699,-74.1522246879153,53605.0,601
41838,41.84911810345309,-74.14029159139065,80855.0,514
42138,41.841604478401244,-74.12812913807059,40706.0,523
40655,42.070365538110934,-74.19201636022531,119790.0,531
40955,42.07063084184429,-74.1857396663842,43908.0,575
40956,42.08647458752272,-74.17901847824072,47350.0,101
41256,42.09266572631744,-74.17309187605633,6319.0,98
41257,42.09843535177618,-74.17218070207119,35582.0,98
43347,41.971023446225615,-74.07110508812916,35701.0,222
31642,41.89781022316819,-74.5995848747383,1433.0,12
44569,42.2591630202112,-74.02141132969518,50675.0,359
41824,41.66015790860686,-74.14072285034212,10085.0,84
41825,41.674461546367276,-74.13906670780743,7749.0,71
42124,41.657478574615375,-74.13153726846156,130.0,1
42125,41.67394519015355,-74.12960816868417,6642.0,72
47856,42.08621954798613,-73.87384584182746,83670.0,659
47857,42.10033228758304,-73.87466304542289,88484.0,585
48156,42.083833679442776,-73.85919629719487,42744.0,307
48157,42.102175155642215,-73.85963551158645,65249.0,430
48456,42.08860471244714,-73.84513125469977,70024.0,598
48457,42.100775087875974,-73.84587737788112,85203.0,585
41828,41.71201803027218,-74.13664627412432,63299.0,338
42129,41.721182194376986,-74.12662479759918,52605.0,534
41274,42.32877055418347,-74.16884848271462,24836.0,149
41573,42.320828347117306,-74.16028602345926,503.0,68
41574,42.32668076462478,-74.15897171853162,13566.0,78
43931,41.75369346143721,-74.05074807003768,31533.0,242
43932,41.768445487960435,-74.04702646960685,74438.0,582
43933,41.77524799429277,-74.04501291181262,30137.0,535
44233,41.77930138113434,-74.03189153009455,91086.0,1014
41854,42.05484170154187,-74.14091503363119,36710.0,162
42153,42.045584870736214,-74.12705576260561,278082.0,1238
48756,42.085845183979174,-73.8321399658751,69216.0,681
46066,42.221842271156525,-73.95173625994119,7142.0,39
48758,42.10969169168904,-73.82886693284003,37902.0,326
49058,42.111862354928064,-73.8191789268518,69500.0,506
49059,42.12715762068668,-73.8199824269666,66497.0,446
49358,42.115293823089615,-73.80582421299076,30845.0,198
49359,42.12125579631693,-73.8061549752604,2688.0,169
41533,41.77539070586741,-74.15170529047995,73235.0,331
41834,41.79153911224091,-74.13965718958698,270470.0,926
43052,42.0318777786773,-74.08701015381469,58107.0,500
46635,41.802162505612614,-73.9284366335387,1461.0,12
38822,41.63061051883443,-74.27245279863867,129571.0,596
38823,41.64313532654657,-74.27307558832851,21257.0,150
40930,41.738213509156466,-74.18328942861366,238344.0,1198
46355,42.0748773161766,-73.94291679343107,12209.0,81
40935,41.80594519881633,-74.18134824537978,78396.0,433
50240,41.87120334164917,-73.76391151890168,43864.0,234
50538,41.84876425034362,-73.75420747994262,33464.0,241
50539,41.861212732168816,-73.75060257112534,8530.0,197
37662,42.17239428484848,-74.3231865878788,33.0,1
37663,42.175111781249996,-74.32426807499999,16.0,1
37962,42.169426286607134,-74.3154781205357,112.0,1
38262,42.166599993103446,-74.30115980344831,87.0,1
38562,42.16910303846928,-74.28535200461235,2038.0,2
38862,42.168795067697424,-74.27277460383723,4430.0,2
39162,42.16817792378329,-74.25921091173804,7480.0,8
39163,42.17672067109979,-74.260997896041,5557.0,8
43649,41.993443019576475,-74.06370687349788,28994.0,66
33748,41.98568676467817,-74.5053473696782,8080.0,114
33749,41.98867290772922,-74.4991764655286,12097.0,114
34049,41.991697025990675,-74.48841200687764,17564.0,113
34349,41.99267691549275,-74.47477709364703,15788.0,109
34649,41.998057709056994,-74.46204819698366,12598.0,108
34650,42.000239184999955,-74.4553808524638,1380.0,107
34950,42.00142692819134,-74.4476341432197,16349.0,107
35250,42.0045767322535,-74.4340666156229,16175.0,107
35550,42.0099050553036,-74.42130279757822,26633.0,113
43930,41.74029918567076,-74.04655187573248,161606.0,1391
41564,42.1941984364969,-74.15361995554062,50122.0,446
42164,42.19469521790729,-74.1292603437352,60171.0,414
42464,42.19647846378647,-74.11320484327817,37497.0,259
45143,41.91493267063732,-73.99252780354978,60284.0,524
45444,41.92530890006976,-73.98193424463689,70285.0,311
45745,41.93935952141074,-73.96993639816944,5572.0,5
41258,42.11303061637425,-74.16976714152048,342.0,2
41259,42.127344546125485,-74.16624273099633,271.0,2
41260,42.13524617761194,-74.16284621343284,67.0,2
42427,41.699918071011,-74.11496706625935,83428.0,629
38872,42.304306857591776,-74.27335488315424,21958.0,178
39173,42.310274288437135,-74.26078528784618,11338.0,124
40372,42.300739087795705,-74.20774986865491,53096.0,237
42453,42.04671275517751,-74.11631080580443,288023.0,1273
42454,42.05770913070483,-74.11808757171218,69468.0,265
46339,41.855482243842125,-73.93551894260578,2103.0,18
46637,41.83635310453885,-73.93076873208429,8967.0,192
46639,41.85915547245872,-73.92524531314933,29857.0,209
34659,42.12374513339885,-74.46327158675619,9159.0,85
